categorie,detail,annee,nombre_immigrants
age,0-14_ans,2020,5198
age,15-24_ans,2020,2517
age,25-34_ans,2020,8153
age,35-44_ans,2020,5853
age,45-54_ans,2020,1973
age,55-64_ans,2020,796
age,65_ans_et_plus,2020,737
immigration_totale,immigration_totale,2020,25227
langue_connue,anglais_seulement,2020,6052
langue_connue,connaissant_le_français,2020,15095
langue_connue,français_et_anglais,2020,7909
langue_connue,français_seulement,2020,7186
langue_connue,information_non_disponible,2020,226
langue_connue,ni_français_ni_anglais,2020,3854
langue_connue,sous-total,2020,25001
langue_travailleurs_qualifies,anglais_seulement,2020,934
langue_travailleurs_qualifies,connaissant_le_français,2020,7355
langue_travailleurs_qualifies,français_et_anglais,2020,5013
langue_travailleurs_qualifies,français_seulement,2020,2342
langue_travailleurs_qualifies,information_non_disponible,2020,31
langue_travailleurs_qualifies,ni_français_ni_anglais,2020,27
langue_travailleurs_qualifies,sous-total,2020,8316
region_destination,abitibi-témiscamingue,2020,117
region_destination,autres_régions_ou_non_déterminée,2020,34
region_destination,bas-saint-laurent,2020,105
region_destination,capitale-nationale,2020,1871
region_destination,centre-du-québec,2020,163
region_destination,chaudière-appalaches,2020,185
region_destination,côte-nord_et_nord-du-québec,2020,38
region_destination,estrie,2020,513
region_destination,lanaudière,2020,243
region_destination,laurentides,2020,333
region_destination,laval,2020,1041
region_destination,mauricie,2020,176
region_destination,montréal,2020,18241
region_destination,montérégie,2020,1369
region_destination,outaouais,2020,696
region_destination,saguenay–lac-saint-jean,2020,102
region_naissance_afrique,afrique_centrale_et_méridionale,2020,1654
region_naissance_afrique,afrique_du_nord,2020,4673
region_naissance_afrique,afrique_occidentale,2020,2334
region_naissance_afrique,afrique_orientale,2020,981
region_naissance_amerique,amérique_centrale,2020,565
region_naissance_amerique,amérique_du_nord,2020,595
region_naissance_amerique,amérique_du_sud,2020,1242
region_naissance_amerique,antilles,2020,1172
region_naissance_asie,asie_du_sud-est,2020,1015
region_naissance_asie,asie_méridionale,2020,1631
region_naissance_asie,asie_occidentale_et_centrale,2020,1019
region_naissance_asie,asie_orientale,2020,1807
region_naissance_asie,moyen-orient,2020,2294
region_naissance_europe,europe_méridionale,2020,280
region_naissance_europe,europe_occidentale_et_septentrionale,2020,3378
region_naissance_europe,europe_orientale,2020,500
region_naissance_oceanie_autres_lieux,océanie_et_autres_lieux,2020,87
sexe,femmes,2020,12862
sexe,hommes,2020,12365
type_immigration,aides_familiaux,2020,189
type_immigration,autres_immigrants,2020,475
type_immigration,entrepreneurs_et_travailleurs_autonomes,2020,51
type_immigration,"gens_d'affaires,_total",2020,1107
type_immigration,immigration_économique,2020,12771
type_immigration,investisseurs,2020,1056
type_immigration,reconnus_sur_place,2020,2456
type_immigration,regroupement_familial,2020,7794
type_immigration,réfugiés_et_personnes_en_situation_semblable,2020,4187
type_immigration,sélectionnés_à_l'étranger,2020,1731
type_immigration,travailleurs_qualifiés,2020,11475
age,0-14_ans,2021,7841
age,15-24_ans,2021,5717
age,25-34_ans,2021,19094
age,35-44_ans,2021,10812
age,45-54_ans,2021,3779
age,55-64_ans,2021,1597
age,65_ans_et_plus,2021,1413
immigration_totale,immigration_totale,2021,50253
langue_connue,anglais_seulement,2021,9821
langue_connue,connaissant_le_français,2021,34449
langue_connue,français_et_anglais,2021,20252
langue_connue,français_seulement,2021,14197
langue_connue,information_non_disponible,2021,523
langue_connue,ni_français_ni_anglais,2021,5460
langue_connue,sous-total,2021,49730
langue_travailleurs_qualifies,anglais_seulement,2021,1476
langue_travailleurs_qualifies,connaissant_le_français,2021,19619
langue_travailleurs_qualifies,français_et_anglais,2021,14610
langue_travailleurs_qualifies,français_seulement,2021,5009
langue_travailleurs_qualifies,information_non_disponible,2021,56
langue_travailleurs_qualifies,ni_français_ni_anglais,2021,47
langue_travailleurs_qualifies,sous-total,2021,21142
region_destination,abitibi-témiscamingue,2021,291
region_destination,autres_régions_ou_non_déterminée,2021,90
region_destination,bas-saint-laurent,2021,246
region_destination,capitale-nationale,2021,4092
region_destination,centre-du-québec,2021,376
region_destination,chaudière-appalaches,2021,707
region_destination,côte-nord_et_nord-du-québec,2021,99
region_destination,estrie,2021,1312
region_destination,lanaudière,2021,596
region_destination,laurentides,2021,713
region_destination,laval,2021,1737
region_destination,mauricie,2021,476
region_destination,montréal,2021,34363
region_destination,montérégie,2021,3624
region_destination,outaouais,2021,1239
region_destination,saguenay–lac-saint-jean,2021,292
region_naissance_afrique,afrique_centrale_et_méridionale,2021,3123
region_naissance_afrique,afrique_du_nord,2021,7682
region_naissance_afrique,afrique_occidentale,2021,3706
region_naissance_afrique,afrique_orientale,2021,1652
region_naissance_amerique,amérique_centrale,2021,1217
region_naissance_amerique,amérique_du_nord,2021,1150
region_naissance_amerique,amérique_du_sud,2021,3751
region_naissance_amerique,antilles,2021,3487
region_naissance_asie,asie_du_sud-est,2021,1306
region_naissance_asie,asie_méridionale,2021,2392
region_naissance_asie,asie_occidentale_et_centrale,2021,2527
region_naissance_asie,asie_orientale,2021,3686
region_naissance_asie,moyen-orient,2021,2551
region_naissance_europe,europe_méridionale,2021,550
region_naissance_europe,europe_occidentale_et_septentrionale,2021,10512
region_naissance_europe,europe_orientale,2021,772
region_naissance_oceanie_autres_lieux,océanie_et_autres_lieux,2021,189
sexe,femmes,2021,25288
sexe,hommes,2021,24965
type_immigration,aides_familiaux,2021,126
type_immigration,autres_immigrants,2021,2241
type_immigration,entrepreneurs_et_travailleurs_autonomes,2021,76
type_immigration,"gens_d'affaires,_total",2021,1685
type_immigration,immigration_économique,2021,26845
type_immigration,investisseurs,2021,1609
type_immigration,reconnus_sur_place,2021,5684
type_immigration,regroupement_familial,2021,13872
type_immigration,réfugiés_et_personnes_en_situation_semblable,2021,7295
type_immigration,sélectionnés_à_l'étranger,2021,1611
type_immigration,travailleurs_qualifiés,2021,25034
